transcript	cod_idx	length	frame	cts
YAL003W	1	27	0	310
YAL003W	1	28	0	567
YAL003W	1	28	2	115
YAL003W	1	29	0	244
YAL003W	1	29	1	28
YAL003W	1	29	2	187
YAL003W	1	30	1	47
YAL003W	1	30	2	63
YAL003W	1	31	1	35
YAL003W	2	27	0	534
YAL003W	2	28	0	274
YAL003W	2	28	2	1590
YAL003W	2	29	0	155
YAL003W	2	29	1	304
YAL003W	2	29	2	916
YAL003W	2	30	1	156
YAL003W	2	30	2	472
YAL003W	2	31	1	74
YAL003W	3	27	0	316
YAL003W	3	28	0	313
YAL003W	3	28	2	47
YAL003W	3	29	0	175
YAL003W	3	29	1	124
YAL003W	3	29	2	49
YAL003W	3	30	1	127
YAL003W	3	30	2	49
YAL003W	3	31	1	96
YAL003W	4	27	0	60
YAL003W	4	28	0	55
YAL003W	4	28	2	177
YAL003W	4	29	0	47
YAL003W	4	29	1	39
YAL003W	4	29	2	165
YAL003W	4	30	1	18
YAL003W	4	30	2	130
YAL003W	4	31	1	26
YAL003W	5	27	0	663
YAL003W	5	28	0	459
YAL003W	5	28	2	138
YAL003W	5	29	0	535
YAL003W	5	29	1	388
YAL003W	5	29	2	134
YAL003W	5	30	1	280
YAL003W	5	30	2	134
YAL003W	5	31	1	310
YAL003W	6	27	0	79
YAL003W	6	28	0	144
YAL003W	6	28	2	30
YAL003W	6	29	0	2
YAL003W	6	29	1	17
YAL003W	6	29	2	49
YAL003W	6	30	1	25
YAL003W	6	30	2	1
YAL003W	7	27	0	73
YAL003W	7	28	0	106
YAL003W	7	28	2	29
YAL003W	7	29	0	67
YAL003W	7	29	1	32
YAL003W	7	29	2	32
YAL003W	7	30	1	29
YAL003W	7	30	2	16
YAL003W	7	31	1	29
YAL003W	8	27	0	510
YAL003W	8	28	0	488
YAL003W	8	28	2	471
YAL003W	8	29	0	274
YAL003W	8	29	1	113
YAL003W	8	29	2	423
YAL003W	8	30	1	116
YAL003W	8	30	2	257
YAL003W	8	31	1	62
YAL003W	9	27	0	12
YAL003W	9	28	0	2
YAL003W	9	28	2	7
YAL003W	9	29	0	11
YAL003W	9	29	1	5
YAL003W	9	30	2	2
YAL003W	9	31	1	3
YAL003W	10	27	0	70
YAL003W	10	28	0	130
YAL003W	10	28	2	109
YAL003W	10	29	0	46
YAL003W	10	29	1	136
YAL003W	10	29	2	137
YAL003W	10	30	1	171
YAL003W	10	30	2	41
YAL003W	10	31	1	59
YAL003W	11	27	0	53
YAL003W	11	28	0	60
YAL003W	11	28	2	29
YAL003W	11	29	0	38
YAL003W	11	29	1	119
YAL003W	11	29	2	39
YAL003W	11	30	1	109
YAL003W	11	30	2	19
YAL003W	11	31	1	44
YAL003W	12	27	0	124
YAL003W	12	28	2	51
YAL003W	12	29	0	123
YAL003W	12	29	1	58
YAL003W	12	29	2	5
YAL003W	12	30	1	3
YAL003W	12	30	2	45
YAL003W	12	31	1	51
YAL003W	13	27	0	260
YAL003W	13	28	0	289
YAL003W	13	28	2	126
YAL003W	13	29	0	201
YAL003W	13	29	1	146
YAL003W	13	29	2	152
YAL003W	13	30	1	208
YAL003W	13	30	2	121
YAL003W	13	31	1	154
YAL003W	14	27	0	403
YAL003W	14	28	0	332
YAL003W	14	28	2	62
YAL003W	14	29	0	229
YAL003W	14	29	1	98
YAL003W	14	29	2	58
YAL003W	14	30	1	94
YAL003W	14	30	2	35
YAL003W	14	31	1	62
YAL003W	15	27	0	26
YAL003W	15	28	0	34
YAL003W	15	28	2	26
YAL003W	15	29	0	17
YAL003W	15	29	1	5
YAL003W	15	29	2	21
YAL003W	15	30	1	21
YAL003W	15	30	2	14
YAL003W	15	31	1	7
YAL003W	16	27	0	234
YAL003W	16	28	0	341
YAL003W	16	28	2	67
YAL003W	16	29	0	226
YAL003W	16	29	1	38
YAL003W	16	29	2	115
YAL003W	16	30	1	70
YAL003W	16	30	2	80
YAL003W	16	31	1	53
YAL003W	17	27	0	42
YAL003W	17	28	0	66
YAL003W	17	28	2	24
YAL003W	17	29	0	1
YAL003W	17	29	1	35
YAL003W	17	29	2	45
YAL003W	17	30	1	65
YAL003W	17	30	2	3
YAL003W	17	31	1	1
YAL003W	18	27	0	76
YAL003W	18	28	0	32
YAL003W	18	28	2	26
YAL003W	18	29	0	33
YAL003W	18	29	1	18
YAL003W	18	29	2	21
YAL003W	18	30	1	9
YAL003W	18	30	2	8
YAL003W	18	31	1	8
YAL003W	19	27	0	106
YAL003W	19	28	0	100
YAL003W	19	28	2	293
YAL003W	19	29	0	58
YAL003W	19	29	1	70
YAL003W	19	29	2	277
YAL003W	19	30	1	71
YAL003W	19	30	2	165
YAL003W	19	31	1	36
YAL003W	20	27	0	35
YAL003W	20	28	0	46
YAL003W	20	28	2	70
YAL003W	20	29	0	25
YAL003W	20	29	1	28
YAL003W	20	29	2	157
