transcript	cod_idx	length	frame	cts
YAL001C	1	29	0	1
YAL001C	1	29	1	1
YAL001C	1	29	2	2
YAL001C	1	30	1	1
YAL001C	2	28	0	1
YAL001C	2	29	2	1
YAL001C	2	30	1	1
YAL001C	3	28	0	3
YAL001C	3	28	2	1
YAL001C	3	29	0	2
YAL001C	3	29	1	3
YAL001C	3	30	1	1
YAL001C	3	30	2	1
YAL001C	3	31	1	1
YAL001C	6	28	0	1
YAL001C	8	28	0	2
YAL001C	8	29	1	1
YAL001C	8	31	1	1
YAL001C	9	27	0	19
YAL001C	9	28	0	12
YAL001C	9	28	2	5
YAL001C	9	29	0	8
YAL001C	9	29	1	7
YAL001C	9	29	2	2
YAL001C	9	30	1	1
YAL001C	9	30	2	3
YAL001C	9	31	1	3
YAL001C	10	28	0	1
YAL001C	10	29	1	1
YAL001C	10	30	1	1
YAL001C	11	27	0	12
YAL001C	11	28	0	9
YAL001C	11	28	2	4
YAL001C	11	29	0	8
YAL001C	11	29	1	1
YAL001C	11	29	2	3
YAL001C	11	31	1	3
YAL001C	12	27	0	2
YAL001C	12	28	0	4
YAL001C	12	29	0	1
YAL001C	12	29	1	2
YAL001C	13	29	2	1
YAL001C	14	27	0	6
YAL001C	14	28	0	5
YAL001C	14	28	2	9
YAL001C	14	29	0	4
YAL001C	14	29	1	4
YAL001C	14	29	2	10
YAL001C	14	30	1	3
YAL001C	14	30	2	4
YAL001C	14	31	1	1
YAL001C	15	27	0	4
YAL001C	15	28	2	2
YAL001C	15	29	0	2
YAL001C	15	30	2	2
YAL001C	16	27	0	1
YAL001C	16	28	0	2
YAL001C	17	27	0	4
YAL001C	17	28	0	4
YAL001C	17	28	2	6
YAL001C	17	29	0	2
YAL001C	17	29	2	4
YAL001C	17	30	1	3
YAL001C	18	27	0	1
YAL001C	18	28	0	3
YAL001C	18	29	0	1
YAL001C	18	30	1	1
YAL001C	18	31	1	1
YAL001C	19	27	0	2
YAL001C	19	28	0	4
YAL001C	19	29	1	2
YAL001C	19	29	2	2
YAL001C	19	30	1	2
YAL001C	20	27	0	2
YAL001C	20	28	0	2
YAL001C	20	29	0	1
YAL001C	20	30	2	1
YAL001C	21	27	0	1
YAL001C	21	28	0	1
YAL001C	21	30	2	3
YAL001C	22	27	0	5
YAL001C	22	28	0	6
YAL001C	22	28	2	2
YAL001C	22	29	0	5
YAL001C	22	29	1	2
YAL001C	22	29	2	2
YAL001C	22	30	1	3
YAL001C	22	30	2	1
YAL001C	22	31	1	2
YAL001C	24	27	0	3
YAL001C	24	28	0	1
YAL001C	24	28	2	2
YAL001C	24	29	0	1
YAL001C	24	29	1	6
YAL001C	24	29	2	9
YAL001C	24	30	1	5
YAL001C	24	30	2	5
YAL001C	24	31	1	2
YAL001C	25	28	0	2
YAL001C	25	28	2	6
YAL001C	25	29	0	6
YAL001C	25	29	1	6
YAL001C	25	29	2	13
YAL001C	25	30	1	3
YAL001C	25	30	2	5
YAL001C	25	31	1	1
YAL001C	26	28	0	1
YAL001C	26	29	1	2
YAL001C	26	30	1	4
YAL001C	26	31	1	3
YAL001C	27	27	0	1
YAL001C	28	27	0	2
YAL001C	28	28	0	3
YAL001C	28	28	2	10
YAL001C	28	29	0	1
YAL001C	28	29	1	2
YAL001C	28	29	2	10
YAL001C	28	30	2	5
YAL001C	29	29	2	4
YAL001C	29	30	1	1
YAL001C	29	31	1	1
YAL001C	30	27	0	2
YAL001C	30	28	0	5
YAL001C	30	28	2	3
YAL001C	30	29	0	3
YAL001C	30	29	1	1
YAL001C	30	29	2	2
YAL001C	30	30	1	1
YAL001C	30	30	2	1
YAL001C	31	27	0	1
YAL001C	31	28	0	1
YAL001C	31	29	2	2
YAL001C	31	30	1	1
YAL001C	33	27	0	1
YAL001C	33	28	0	1
YAL001C	33	28	2	4
YAL001C	33	29	0	2
YAL001C	33	29	1	3
YAL001C	33	29	2	3
YAL001C	33	30	1	4
YAL001C	33	30	2	1
YAL001C	33	31	1	2
YAL001C	35	28	2	1
YAL001C	35	29	2	3
YAL001C	35	30	2	1
YAL001C	36	27	0	3
YAL001C	36	28	0	6
YAL001C	36	28	2	5
YAL001C	36	29	0	3
YAL001C	36	29	2	9
YAL001C	36	30	1	2
YAL001C	36	30	2	9
YAL001C	37	27	0	4
YAL001C	37	28	0	2
YAL001C	37	28	2	4
YAL001C	37	29	0	1
YAL001C	37	29	1	3
YAL001C	37	29	2	4
YAL001C	37	30	1	7
YAL001C	37	30	2	1
YAL001C	38	27	0	2
YAL001C	38	28	0	1
YAL001C	38	29	1	1
YAL001C	39	28	0	4
YAL001C	39	29	0	2
YAL001C	39	29	2	1
YAL001C	39	31	1	1
YAL001C	40	27	0	2
YAL001C	40	29	2	1
YAL001C	41	29	2	2
YAL001C	41	30	2	1
YAL001C	42	27	0	3
YAL001C	43	27	0	1
YAL001C	43	28	0	2
YAL001C	43	28	2	1
YAL001C	43	29	0	2
YAL001C	43	29	2	1
YAL001C	44	27	0	1
YAL001C	44	28	2	1
YAL001C	44	29	1	3
YAL001C	44	29	2	4
YAL001C	44	30	1	3
YAL001C	44	30	2	3
YAL001C	44	31	1	2
YAL001C	46	28	0	1
YAL001C	46	29	1	1
YAL001C	46	29	2	2
YAL001C	47	27	0	3
YAL001C	47	28	0	2
YAL001C	47	28	2	3
YAL001C	47	29	1	1
YAL001C	47	29	2	1
YAL001C	47	30	1	3
YAL001C	47	30	2	1
YAL001C	48	28	2	1
YAL001C	48	29	2	1
YAL001C	48	30	2	1
YAL001C	49	27	0	4
YAL001C	49	28	0	6
YAL001C	49	28	2	3
YAL001C	49	29	0	3
YAL001C	49	29	2	5
YAL001C	49	30	2	2
YAL001C	49	31	1	1
YAL001C	50	28	0	2
YAL001C	50	30	2	1
YAL001C	51	27	0	3
YAL001C	51	28	2	1
YAL001C	51	29	2	1
YAL001C	51	30	1	1
YAL001C	51	30	2	2
YAL001C	52	29	0	1
YAL001C	54	27	0	13
YAL001C	54	28	0	22
YAL001C	54	28	2	2
YAL001C	54	29	0	1
YAL001C	54	29	1	7
YAL001C	54	29	2	5
YAL001C	54	30	1	13
YAL001C	55	27	0	8
YAL001C	55	28	0	7
YAL001C	55	28	2	1
YAL001C	55	29	0	6
YAL001C	55	29	1	3
YAL001C	55	29	2	6
YAL001C	55	30	1	2
YAL001C	55	30	2	3
YAL001C	55	31	1	1
YAL001C	57	29	1	1
YAL001C	57	30	1	2
YAL001C	58	27	0	2
YAL001C	58	28	0	5
YAL001C	58	28	2	3
YAL001C	58	29	2	2
YAL001C	58	30	2	2
YAL001C	58	31	1	1
YAL001C	59	27	0	1
YAL001C	59	28	2	3
YAL001C	59	29	1	4
YAL001C	59	29	2	2
YAL001C	59	30	1	1
YAL001C	61	28	2	1
YAL001C	61	29	1	1
YAL001C	61	29	2	2
YAL001C	61	30	2	3
YAL001C	62	28	2	1
YAL001C	62	30	1	1
YAL001C	62	30	2	1
YAL001C	63	28	0	1
YAL001C	63	28	2	2
YAL001C	63	29	0	2
YAL001C	63	29	1	1
YAL001C	63	29	2	2
YAL001C	63	31	1	1
YAL001C	64	28	2	1
YAL001C	64	30	1	1
YAL001C	64	30	2	2
YAL001C	66	27	0	3
YAL001C	66	28	0	2
YAL001C	66	28	2	3
YAL001C	66	29	1	1
YAL001C	66	29	2	4
YAL001C	66	30	2	2
YAL001C	67	27	0	3
YAL001C	67	28	0	4
YAL001C	67	28	2	4
YAL001C	67	29	0	1
YAL001C	67	29	1	2
YAL001C	67	29	2	6
YAL001C	67	30	2	4
YAL001C	67	31	1	2
YAL001C	69	27	0	1
YAL001C	69	28	0	9
YAL001C	69	29	0	5
YAL001C	69	29	2	9
YAL001C	69	30	1	7
YAL001C	69	30	2	1
YAL001C	69	31	1	5
YAL001C	70	28	0	2
YAL001C	70	29	0	1
YAL001C	70	29	2	1
YAL001C	70	30	1	1
YAL001C	70	30	2	1
YAL001C	70	31	1	1
YAL001C	71	27	0	3
YAL001C	71	28	0	4
YAL001C	71	28	2	6
YAL001C	71	29	1	1
YAL001C	71	29	2	2
YAL001C	71	30	1	3
YAL001C	71	30	2	2
YAL001C	74	29	2	1
YAL001C	74	30	1	1
YAL001C	76	28	0	1
YAL001C	76	29	2	2
YAL001C	76	30	1	1
YAL001C	78	28	0	1
YAL001C	78	29	2	2
YAL001C	78	30	1	1
YAL001C	80	27	0	3
YAL001C	80	28	0	8
YAL001C	80	28	2	4
YAL001C	80	29	0	4
YAL001C	80	29	1	3
YAL001C	80	29	2	4
YAL001C	80	30	1	1
YAL001C	80	30	2	1
YAL001C	81	27	0	1
YAL001C	81	28	0	1
YAL001C	81	28	2	3
YAL001C	81	29	2	2
YAL001C	81	30	2	4
YAL001C	82	30	1	2
YAL001C	83	27	0	3
YAL001C	83	28	0	1
YAL001C	83	28	2	5
YAL001C	83	29	0	2
YAL001C	83	29	1	1
YAL001C	83	29	2	5
YAL001C	83	30	2	3
YAL001C	84	30	1	2
YAL001C	84	31	1	1
YAL001C	85	27	0	1
YAL001C	86	27	0	4
YAL001C	86	28	0	1
YAL001C	86	28	2	2
YAL001C	86	29	0	1
YAL001C	86	29	2	1
YAL001C	88	27	0	2
YAL001C	88	28	0	1
YAL001C	88	28	2	1
YAL001C	88	29	0	2
YAL001C	88	29	2	4
YAL001C	88	30	2	1
YAL001C	89	27	0	3
YAL001C	89	29	0	1
YAL001C	90	27	0	1
YAL001C	90	28	0	1
YAL001C	90	29	2	1
YAL001C	90	31	1	2
YAL001C	91	27	0	3
YAL001C	91	28	0	7
YAL001C	91	28	2	5
YAL001C	91	29	0	7
YAL001C	91	29	1	2
YAL001C	91	29	2	3
YAL001C	91	30	1	5
YAL001C	91	30	2	4
YAL001C	91	31	1	6
YAL001C	92	27	0	1
YAL001C	92	28	0	1
YAL001C	92	29	2	1
YAL001C	93	27	0	1
YAL001C	93	29	2	1
YAL001C	93	30	1	1
YAL001C	93	30	2	1
YAL001C	94	28	0	1
YAL001C	94	29	0	1
YAL001C	94	29	2	1
YAL001C	94	30	1	1
YAL001C	94	30	2	1
YAL001C	95	27	0	3
YAL001C	95	28	0	4
YAL001C	95	28	2	1
YAL001C	95	29	0	2
YAL001C	95	29	2	1
YAL001C	95	30	1	2
YAL001C	96	27	0	5
YAL001C	96	28	0	1
YAL001C	96	28	2	1
YAL001C	97	27	0	9
YAL001C	97	28	0	5
YAL001C	97	28	2	1
YAL001C	97	29	0	7
YAL001C	97	29	2	1
YAL001C	97	30	2	2
